#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-3.050183e-04 7.243671e+02 2.904045e+02 8.018933e+02
-2.811188e-04 7.243855e+02 2.904118e+02 8.019136e+02
-2.557758e-04 7.243959e+02 2.904160e+02 8.019251e+02
-2.301936e-04 7.243843e+02 2.904114e+02 8.019123e+02
-2.053392e-04 7.243558e+02 2.903999e+02 8.018807e+02
-1.819078e-04 7.243713e+02 2.904061e+02 8.018979e+02
-1.603384e-04 7.243732e+02 2.904069e+02 8.019000e+02
-1.408559e-04 7.243547e+02 2.903995e+02 8.018795e+02
-1.235197e-04 7.243602e+02 2.904017e+02 8.018856e+02
-1.082746e-04 7.243208e+02 2.903859e+02 8.018420e+02
-9.499380e-05 7.243079e+02 2.903807e+02 8.018278e+02
-8.350666e-05 7.242833e+02 2.903709e+02 8.018005e+02
-7.362269e-05 7.242625e+02 2.903625e+02 8.017775e+02
-6.514978e-05 7.242265e+02 2.903481e+02 8.017376e+02
-5.790544e-05 7.242513e+02 2.903580e+02 8.017650e+02
-5.172323e-05 7.242608e+02 2.903618e+02 8.017755e+02
-4.645450e-05 7.242779e+02 2.903687e+02 8.017945e+02
-4.196748e-05 7.242992e+02 2.903772e+02 8.018180e+02
-3.814775e-05 7.243303e+02 2.903897e+02 8.018526e+02
-3.489782e-05 7.243101e+02 2.903816e+02 8.018301e+02
-3.213442e-05 7.243236e+02 2.903870e+02 8.018451e+02
-2.978675e-05 7.242979e+02 2.903767e+02 8.018167e+02
-2.779534e-05 7.243167e+02 2.903842e+02 8.018374e+02
-2.610949e-05 7.242716e+02 2.903662e+02 8.017876e+02
-2.468689e-05 7.242791e+02 2.903692e+02 8.017958e+02
-2.349240e-05 7.242354e+02 2.903517e+02 8.017475e+02
-2.249625e-05 7.242548e+02 2.903594e+02 8.017689e+02
-2.167371e-05 7.242643e+02 2.903632e+02 8.017794e+02
-2.100411e-05 7.242170e+02 2.903443e+02 8.017271e+02
-2.047017e-05 7.242025e+02 2.903385e+02 8.017110e+02
-2.005746e-05 7.241639e+02 2.903230e+02 8.016683e+02
-1.975375e-05 7.241392e+02 2.903131e+02 8.016410e+02
-1.954901e-05 7.241552e+02 2.903195e+02 8.016586e+02
-1.943492e-05 7.241169e+02 2.903041e+02 8.016162e+02
-1.940469e-05 7.240686e+02 2.902848e+02 8.015628e+02
-1.945276e-05 7.240908e+02 2.902937e+02 8.015874e+02
-1.957469e-05 7.241124e+02 2.903023e+02 8.016112e+02
-1.976664e-05 7.241323e+02 2.903103e+02 8.016333e+02
-2.002530e-05 7.241411e+02 2.903138e+02 8.016430e+02
-2.034875e-05 7.241651e+02 2.903235e+02 8.016697e+02
-2.073537e-05 7.241842e+02 2.903311e+02 8.016908e+02
-2.118358e-05 7.242195e+02 2.903453e+02 8.017298e+02
-2.169275e-05 7.241884e+02 2.903328e+02 8.016954e+02
-2.226267e-05 7.241848e+02 2.903314e+02 8.016914e+02
-2.289284e-05 7.242400e+02 2.903535e+02 8.017525e+02
-2.358327e-05 7.242164e+02 2.903440e+02 8.017264e+02
-2.433488e-05 7.242100e+02 2.903415e+02 8.017194e+02
-2.514854e-05 7.241966e+02 2.903361e+02 8.017045e+02
