#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-2.982580e-04 7.831738e+02 3.139805e+02 8.669938e+02
-2.825587e-04 7.028873e+02 2.817930e+02 7.781145e+02
-2.730395e-04 7.026008e+02 2.816782e+02 7.777973e+02
-2.688967e-04 7.989650e+02 3.203113e+02 8.844750e+02
-2.895674e-04 7.890587e+02 3.163398e+02 8.735085e+02
-3.270150e-04 7.264093e+02 2.912232e+02 8.041541e+02
-3.569873e-04 7.267002e+02 2.913398e+02 8.044760e+02
-3.802336e-04 7.497558e+02 3.005830e+02 8.299992e+02
-3.801194e-04 7.761476e+02 3.111637e+02 8.592157e+02
-3.655479e-04 8.231160e+02 3.299937e+02 9.112109e+02
-3.776056e-04 8.441061e+02 3.384088e+02 9.344474e+02
-4.054966e-04 8.115814e+02 3.253693e+02 8.984417e+02
-4.260051e-04 7.573103e+02 3.036117e+02 8.383623e+02
-4.248478e-04 6.656406e+02 2.668605e+02 7.368815e+02
-3.948293e-04 6.950622e+02 2.786559e+02 7.694520e+02
-3.612235e-04 7.084666e+02 2.840298e+02 7.842910e+02
-3.689934e-04 7.101105e+02 2.846889e+02 7.861108e+02
-3.724803e-04 7.811882e+02 3.131845e+02 8.647957e+02
-3.543189e-04 7.175495e+02 2.876712e+02 7.943460e+02
-3.356426e-04 7.425285e+02 2.976855e+02 8.219984e+02
-3.044576e-04 7.728268e+02 3.098323e+02 8.555393e+02
-2.983997e-04 8.014698e+02 3.213155e+02 8.872479e+02
-3.140645e-04 7.705702e+02 3.089276e+02 8.530413e+02
-2.916186e-04 7.242891e+02 2.903732e+02 8.018069e+02
-2.626689e-04 8.007410e+02 3.210234e+02 8.864412e+02
-2.562061e-04 7.850371e+02 3.147275e+02 8.690565e+02
-2.593086e-04 6.764871e+02 2.712090e+02 7.488889e+02
-2.684367e-04 7.826070e+02 3.137533e+02 8.663664e+02
-2.701195e-04 7.577841e+02 3.038016e+02 8.388868e+02
-2.617724e-04 7.158715e+02 2.869985e+02 7.924884e+02
-2.587028e-04 7.503674e+02 3.008282e+02 8.306762e+02
-2.560773e-04 7.936956e+02 3.181988e+02 8.786417e+02
-2.593332e-04 7.748222e+02 3.106323e+02 8.577484e+02
