#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-3.042510e-04 7.272898e+02 2.915762e+02 8.051288e+02
-2.790876e-04 7.291743e+02 2.923317e+02 8.072149e+02
-2.524812e-04 7.303805e+02 2.928153e+02 8.085502e+02
-2.259019e-04 7.294987e+02 2.924618e+02 8.075741e+02
-2.008527e-04 7.265184e+02 2.912669e+02 8.042748e+02
-1.780052e-04 7.279748e+02 2.918508e+02 8.058870e+02
-1.574251e-04 7.283062e+02 2.919837e+02 8.062539e+02
-1.390095e-04 7.267453e+02 2.913579e+02 8.045260e+02
-1.224679e-04 7.274447e+02 2.916383e+02 8.053003e+02
-1.076631e-04 7.240578e+02 2.902805e+02 8.015508e+02
-9.473042e-05 7.229067e+02 2.898190e+02 8.002766e+02
-8.363017e-05 7.206380e+02 2.889094e+02 7.977650e+02
-7.408905e-05 7.194791e+02 2.884448e+02 7.964821e+02
-6.581463e-05 7.160674e+02 2.870770e+02 7.927052e+02
-5.857959e-05 7.177148e+02 2.877375e+02 7.945289e+02
-5.229616e-05 7.181165e+02 2.878985e+02 7.949736e+02
-4.692616e-05 7.198113e+02 2.885780e+02 7.968499e+02
-4.232435e-05 7.217506e+02 2.893555e+02 7.989968e+02
-3.835589e-05 7.245935e+02 2.904952e+02 8.021439e+02
-3.497551e-05 7.220127e+02 2.894605e+02 7.992868e+02
-3.212634e-05 7.241478e+02 2.903165e+02 8.016504e+02
-2.973389e-05 7.211270e+02 2.891055e+02 7.983064e+02
-2.775980e-05 7.232346e+02 2.899504e+02 8.006395e+02
-2.610913e-05 7.192092e+02 2.883366e+02 7.961833e+02
-2.472856e-05 7.194853e+02 2.884473e+02 7.964890e+02
-2.360410e-05 7.160405e+02 2.870663e+02 7.926755e+02
-2.269345e-05 7.171692e+02 2.875188e+02 7.939250e+02
-2.197432e-05 7.179545e+02 2.878336e+02 7.947944e+02
-2.142764e-05 7.127668e+02 2.857538e+02 7.890514e+02
-2.103641e-05 7.105251e+02 2.848551e+02 7.865698e+02
-2.078496e-05 7.077327e+02 2.837356e+02 7.834786e+02
-2.064270e-05 7.069270e+02 2.834126e+02 7.825866e+02
-2.059292e-05 7.086305e+02 2.840955e+02 7.844724e+02
-2.062305e-05 7.060544e+02 2.830627e+02 7.816206e+02
-2.073738e-05 7.008740e+02 2.809859e+02 7.758858e+02
-2.094277e-05 7.031339e+02 2.818919e+02 7.783875e+02
-2.125704e-05 7.053867e+02 2.827951e+02 7.808814e+02
-2.166461e-05 7.084235e+02 2.840125e+02 7.842433e+02
-2.212012e-05 7.094531e+02 2.844253e+02 7.853830e+02
-2.267031e-05 7.113948e+02 2.852037e+02 7.875325e+02
-2.332539e-05 7.135599e+02 2.860718e+02 7.899294e+02
-2.404521e-05 7.168884e+02 2.874062e+02 7.936141e+02
-2.486158e-05 7.125997e+02 2.856868e+02 7.888664e+02
-2.579672e-05 7.128365e+02 2.857818e+02 7.891286e+02
-2.677681e-05 7.175866e+02 2.876861e+02 7.943871e+02
-2.775870e-05 7.138366e+02 2.861827e+02 7.902357e+02
-2.882266e-05 7.130854e+02 2.858815e+02 7.894041e+02
-2.999285e-05 7.111567e+02 2.851083e+02 7.872690e+02
-3.125324e-05 7.118254e+02 2.853764e+02 7.880093e+02
-3.264318e-05 7.092005e+02 2.843240e+02 7.851034e+02
-3.412104e-05 7.064919e+02 2.832382e+02 7.821050e+02
-3.564162e-05 7.039973e+02 2.822380e+02 7.793433e+02
-3.723842e-05 7.037376e+02 2.821339e+02 7.790558e+02
-3.878867e-05 7.048151e+02 2.825659e+02 7.802487e+02
-4.029011e-05 7.039238e+02 2.822086e+02 7.792619e+02
-4.191736e-05 7.079403e+02 2.838188e+02 7.837084e+02
-4.370200e-05 7.081182e+02 2.838902e+02 7.839053e+02
-4.567846e-05 7.058325e+02 2.829738e+02 7.813750e+02
-4.782402e-05 7.061454e+02 2.830992e+02 7.817214e+02
-5.010476e-05 7.054394e+02 2.828162e+02 7.809398e+02
-5.246564e-05 7.051699e+02 2.827081e+02 7.806414e+02
-5.492347e-05 7.084443e+02 2.840209e+02 7.842663e+02
-5.750516e-05 7.084258e+02 2.840135e+02 7.842458e+02
-6.020279e-05 7.094828e+02 2.844372e+02 7.854160e+02
-6.307697e-05 7.098601e+02 2.845885e+02 7.858336e+02
-6.631803e-05 7.108056e+02 2.849675e+02 7.868803e+02
-6.993632e-05 7.124254e+02 2.856170e+02 7.886735e+02
-7.395499e-05 7.122026e+02 2.855276e+02 7.884268e+02
-7.864345e-05 7.107485e+02 2.849447e+02 7.868171e+02
-8.421210e-05 7.090238e+02 2.842532e+02 7.849078e+02
-9.102906e-05 7.137497e+02 2.861479e+02 7.901395e+02
-9.953069e-05 7.141816e+02 2.863210e+02 7.906176e+02
-1.102431e-04 7.169169e+02 2.874176e+02 7.936457e+02
-1.237792e-04 7.184480e+02 2.880314e+02 7.953406e+02
-1.411891e-04 7.212347e+02 2.891486e+02 7.984256e+02
-1.635915e-04 7.209693e+02 2.890422e+02 7.981317e+02
-1.927540e-04 7.207932e+02 2.889717e+02 7.979369e+02
-2.307398e-04 7.221012e+02 2.894960e+02 7.993848e+02
-2.804688e-04 7.291301e+02 2.923140e+02 8.071660e+02
-3.459648e-04 7.338432e+02 2.942035e+02 8.123836e+02
-4.330359e-04 7.341756e+02 2.943368e+02 8.127515e+02
-5.507862e-04 7.374101e+02 2.956335e+02 8.163321e+02
-7.081872e-04 7.387628e+02 2.961758e+02 8.178296e+02
-9.198559e-04 7.381492e+02 2.959298e+02 8.171504e+02
-1.208853e-03 7.332190e+02 2.939532e+02 8.116925e+02
-1.610682e-03 7.337787e+02 2.941776e+02 8.123121e+02
-2.185716e-03 7.349378e+02 2.946423e+02 8.135953e+02
-3.017786e-03 7.361843e+02 2.951421e+02 8.149752e+02
-4.230473e-03 7.362520e+02 2.951692e+02 8.150501e+02
-5.975156e-03 7.419794e+02 2.974654e+02 8.213905e+02
-8.479118e-03 7.394601e+02 2.964554e+02 8.186016e+02
-1.226175e-02 7.432981e+02 2.979940e+02 8.228503e+02
-1.798946e-02 7.432632e+02 2.979801e+02 8.228117e+02
-2.674795e-02 7.447647e+02 2.985820e+02 8.244740e+02
-3.997706e-02 7.481792e+02 2.999509e+02 8.282539e+02
-5.915585e-02 7.485466e+02 3.000982e+02 8.286605e+02
-8.811237e-02 7.440889e+02 2.983111e+02 8.237258e+02
-1.313192e-01 7.432985e+02 2.979942e+02 8.228508e+02
-1.938497e-01 7.462903e+02 2.991936e+02 8.261628e+02
