#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-3.050262e-04 7.243387e+02 2.903931e+02 8.018619e+02
-2.811400e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.558107e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.302397e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.053885e-04 7.243386e+02 2.903931e+02 8.018617e+02
-1.819523e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.603736e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.408810e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.235374e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.082884e-04 7.243386e+02 2.903930e+02 8.018616e+02
-9.500446e-05 7.243385e+02 2.903930e+02 8.018616e+02
-8.351363e-05 7.243385e+02 2.903930e+02 8.018616e+02
-7.362628e-05 7.243385e+02 2.903930e+02 8.018616e+02
-6.515135e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.790679e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.172538e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.645737e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.197114e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.815254e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.490357e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.214072e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.979321e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.780132e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.611480e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.469148e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.349600e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.249875e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.167497e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.100396e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.046843e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.005395e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.974849e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.954203e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.942626e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.939430e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.944049e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.956021e-05 7.243385e+02 2.903930e+02 8.018615e+02
-1.974971e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.000600e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.032677e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.071024e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.115516e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.166068e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.222636e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.285209e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.353808e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.428478e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.509294e-05 7.243385e+02 2.903930e+02 8.018615e+02
-2.596349e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.689761e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.789665e-05 7.243385e+02 2.903930e+02 8.018616e+02
-2.896217e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.009587e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.129965e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.257556e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.392584e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.535287e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.685924e-05 7.243385e+02 2.903930e+02 8.018616e+02
-3.844773e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.012131e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.188324e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.373702e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.568650e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.773591e-05 7.243385e+02 2.903930e+02 8.018616e+02
-4.988991e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.215372e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.453317e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.703481e-05 7.243385e+02 2.903930e+02 8.018616e+02
-5.966607e-05 7.243385e+02 2.903930e+02 8.018616e+02
-6.243534e-05 7.243385e+02 2.903930e+02 8.018616e+02
-6.535218e-05 7.243385e+02 2.903930e+02 8.018616e+02
-6.842742e-05 7.243385e+02 2.903930e+02 8.018616e+02
-7.167337e-05 7.243385e+02 2.903930e+02 8.018616e+02
-7.510390e-05 7.243385e+02 2.903930e+02 8.018616e+02
-7.873469e-05 7.243385e+02 2.903930e+02 8.018616e+02
-8.258325e-05 7.243385e+02 2.903930e+02 8.018616e+02
-8.666907e-05 7.243385e+02 2.903930e+02 8.018616e+02
-9.101359e-05 7.243385e+02 2.903930e+02 8.018616e+02
-9.564015e-05 7.243385e+02 2.903930e+02 8.018616e+02
-1.005738e-04 7.243385e+02 2.903930e+02 8.018616e+02
-1.058410e-04 7.243385e+02 2.903930e+02 8.018616e+02
-1.114692e-04 7.243386e+02 2.903930e+02 8.018616e+02
-1.174856e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.239170e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.307878e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.381186e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.459241e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.542110e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.629751e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.721986e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.818470e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.918661e-04 7.243386e+02 2.903930e+02 8.018617e+02
-2.021796e-04 7.243386e+02 2.903930e+02 8.018617e+02
-2.126871e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.232627e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.337556e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.439917e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.537772e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.629047e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.711599e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.783315e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.842209e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.886528e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.914857e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.926198e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.920042e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.896398e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.855798e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.799265e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.728252e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.644558e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.550229e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.447450e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.338440e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.225364e-04 7.243387e+02 2.903931e+02 8.018618e+02
-2.110247e-04 7.243387e+02 2.903931e+02 8.018618e+02
-1.994919e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.880974e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.769749e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.662317e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.559498e-04 7.243386e+02 2.903930e+02 8.018617e+02
-1.461876e-04 7.243386e+02 2.903930e+02 8.018617e+02
