#E_pot  E_kin  T  P
-1.668477e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.686059e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.708589e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.736303e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.769479e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.808446e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.853581e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.905325e-05 7.442475e+02 2.983747e+02 8.239014e+02
-1.964179e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.030719e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.105603e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.189579e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.283503e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.388349e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.505226e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.635401e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.780319e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.941632e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.121227e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.321266e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.544226e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.792949e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.070702e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.381243e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.728902e-05 7.442475e+02 2.983747e+02 8.239014e+02
-5.118670e-05 7.442475e+02 2.983747e+02 8.239014e+02
-5.556313e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.048496e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.602931e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.228549e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.935705e-05 7.442476e+02 2.983747e+02 8.239015e+02
-8.736408e-05 7.442476e+02 2.983747e+02 8.239015e+02
-9.644594e-05 7.442476e+02 2.983747e+02 8.239015e+02
-1.067644e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.185073e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.318924e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.471728e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.646412e-04 7.442477e+02 2.983747e+02 8.239015e+02
-1.846368e-04 7.442477e+02 2.983747e+02 8.239016e+02
-2.075514e-04 7.442477e+02 2.983747e+02 8.239016e+02
-2.338366e-04 7.442477e+02 2.983748e+02 8.239016e+02
-2.640111e-04 7.442478e+02 2.983748e+02 8.239017e+02
-2.986688e-04 7.442478e+02 2.983748e+02 8.239017e+02
-3.384861e-04 7.442478e+02 2.983748e+02 8.239017e+02
-3.842287e-04 7.442479e+02 2.983748e+02 8.239018e+02
-4.367569e-04 7.442479e+02 2.983748e+02 8.239018e+02
-4.970285e-04 7.442480e+02 2.983749e+02 8.239019e+02
-5.660967e-04 7.442481e+02 2.983749e+02 8.239020e+02
-6.451030e-04 7.442481e+02 2.983749e+02 8.239021e+02
-7.352612e-04 7.442482e+02 2.983750e+02 8.239022e+02
-8.378294e-04 7.442483e+02 2.983750e+02 8.239023e+02
-9.540684e-04 7.442485e+02 2.983750e+02 8.239024e+02
-1.085181e-03 7.442486e+02 2.983751e+02 8.239026e+02
-1.232229e-03 7.442487e+02 2.983752e+02 8.239027e+02
-1.396028e-03 7.442489e+02 2.983752e+02 8.239029e+02
-1.577016e-03 7.442491e+02 2.983753e+02 8.239031e+02
-1.775099e-03 7.442493e+02 2.983754e+02 8.239033e+02
-1.989480e-03 7.442495e+02 2.983755e+02 8.239036e+02
-2.218482e-03 7.442497e+02 2.983756e+02 8.239038e+02
-2.459387e-03 7.442500e+02 2.983757e+02 8.239041e+02
-2.708316e-03 7.442502e+02 2.983758e+02 8.239044e+02
-2.960167e-03 7.442505e+02 2.983759e+02 8.239046e+02
-3.208666e-03 7.442507e+02 2.983760e+02 8.239049e+02
-3.446538e-03 7.442509e+02 2.983760e+02 8.239052e+02
-3.665819e-03 7.442512e+02 2.983761e+02 8.239054e+02
-3.858314e-03 7.442514e+02 2.983762e+02 8.239056e+02
-4.016159e-03 7.442515e+02 2.983763e+02 8.239058e+02
-4.132439e-03 7.442516e+02 2.983763e+02 8.239059e+02
-4.201792e-03 7.442517e+02 2.983763e+02 8.239060e+02
-4.220911e-03 7.442517e+02 2.983764e+02 8.239060e+02
-4.188860e-03 7.442517e+02 2.983763e+02 8.239060e+02
-4.107173e-03 7.442516e+02 2.983763e+02 8.239059e+02
-3.979698e-03 7.442515e+02 2.983763e+02 8.239058e+02
-3.812228e-03 7.442513e+02 2.983762e+02 8.239056e+02
-3.611971e-03 7.442511e+02 2.983761e+02 8.239054e+02
-3.386931e-03 7.442509e+02 2.983760e+02 8.239051e+02
-3.145301e-03 7.442506e+02 2.983759e+02 8.239048e+02
-2.894917e-03 7.442504e+02 2.983758e+02 8.239046e+02
-2.642840e-03 7.442501e+02 2.983757e+02 8.239043e+02
-2.395074e-03 7.442499e+02 2.983756e+02 8.239040e+02
-2.156428e-03 7.442497e+02 2.983755e+02 8.239038e+02
-1.930498e-03 7.442494e+02 2.983754e+02 8.239035e+02
-1.719738e-03 7.442492e+02 2.983754e+02 8.239033e+02
-1.525601e-03 7.442490e+02 2.983753e+02 8.239031e+02
-1.348701e-03 7.442488e+02 2.983752e+02 8.239029e+02
-1.188993e-03 7.442487e+02 2.983751e+02 8.239027e+02
-1.045938e-03 7.442485e+02 2.983751e+02 8.239025e+02
-9.186543e-04 7.442484e+02 2.983750e+02 8.239024e+02
-8.060402e-04 7.442483e+02 2.983750e+02 8.239023e+02
-7.068767e-04 7.442482e+02 2.983749e+02 8.239021e+02
-6.199031e-04 7.442481e+02 2.983749e+02 8.239021e+02
-5.438726e-04 7.442480e+02 2.983749e+02 8.239020e+02
-4.775910e-04 7.442480e+02 2.983749e+02 8.239019e+02
-4.199409e-04 7.442479e+02 2.983748e+02 8.239018e+02
-3.698954e-04 7.442479e+02 2.983748e+02 8.239018e+02
-3.265240e-04 7.442478e+02 2.983748e+02 8.239017e+02
-2.889930e-04 7.442478e+02 2.983748e+02 8.239017e+02
-2.565617e-04 7.442478e+02 2.983748e+02 8.239016e+02
-2.285768e-04 7.442477e+02 2.983748e+02 8.239016e+02
-2.044649e-04 7.442477e+02 2.983747e+02 8.239016e+02
-1.837251e-04 7.442477e+02 2.983747e+02 8.239016e+02
-1.659205e-04 7.442477e+02 2.983747e+02 8.239015e+02
-1.506707e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.376446e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.265534e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.171446e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.091966e-04 7.442476e+02 2.983747e+02 8.239015e+02
-1.025137e-04 7.442476e+02 2.983747e+02 8.239015e+02
-9.692166e-05 7.442476e+02 2.983747e+02 8.239015e+02
-9.226469e-05 7.442476e+02 2.983747e+02 8.239015e+02
-8.840197e-05 7.442476e+02 2.983747e+02 8.239015e+02
-8.520544e-05 7.442476e+02 2.983747e+02 8.239015e+02
-8.255799e-05 7.442476e+02 2.983747e+02 8.239015e+02
-8.035210e-05 7.442476e+02 2.983747e+02 8.239015e+02
-7.848906e-05 7.442476e+02 2.983747e+02 8.239015e+02
-7.687859e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.543879e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.409639e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.278716e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.145633e-05 7.442476e+02 2.983747e+02 8.239014e+02
-7.005905e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.856061e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.693646e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.517194e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.326171e-05 7.442476e+02 2.983747e+02 8.239014e+02
-6.120889e-05 7.442476e+02 2.983747e+02 8.239014e+02
-5.902389e-05 7.442476e+02 2.983747e+02 8.239014e+02
-5.672314e-05 7.442476e+02 2.983747e+02 8.239014e+02
-5.432757e-05 7.442476e+02 2.983747e+02 8.239014e+02
-5.186122e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.934975e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.681922e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.429490e-05 7.442475e+02 2.983747e+02 8.239014e+02
-4.180043e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.935709e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.698337e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.469473e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.250352e-05 7.442475e+02 2.983747e+02 8.239014e+02
-3.041905e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.844778e-05 7.442475e+02 2.983747e+02 8.239014e+02
-2.659359e-05 7.442475e+02 2.983747e+02 8.239014e+02
