#E_pot  E_kin  T  P
-3.261071e-04 7.243388e+02 2.903931e+02 8.018619e+02
-2.987125e-04 7.594487e+02 3.044689e+02 8.407295e+02
-2.670077e-04 7.716897e+02 3.093765e+02 8.542806e+02
-2.364743e-04 7.837347e+02 3.142054e+02 8.676148e+02
-2.097876e-04 7.900731e+02 3.167465e+02 8.746315e+02
-1.919792e-04 7.548799e+02 3.026373e+02 8.356717e+02
-1.824539e-04 7.531670e+02 3.019506e+02 8.337755e+02
-1.786175e-04 7.518384e+02 3.014179e+02 8.323047e+02
-1.783174e-04 7.638191e+02 3.062211e+02 8.455676e+02
-1.775396e-04 7.723876e+02 3.096562e+02 8.550532e+02
-1.736709e-04 7.819871e+02 3.135048e+02 8.656801e+02
-1.701482e-04 7.821880e+02 3.135853e+02 8.659025e+02
-1.698802e-04 7.666556e+02 3.073583e+02 8.487077e+02
-1.712733e-04 8.003497e+02 3.208665e+02 8.860080e+02
-1.710777e-04 7.695856e+02 3.085329e+02 8.519513e+02
-1.654481e-04 7.231532e+02 2.899178e+02 8.005495e+02
-1.543625e-04 6.898033e+02 2.765476e+02 7.636303e+02
-1.437601e-04 7.140273e+02 2.862592e+02 7.904468e+02
-1.339153e-04 7.113325e+02 2.851788e+02 7.874636e+02
-1.227039e-04 7.038890e+02 2.821946e+02 7.792234e+02
-1.112465e-04 6.972878e+02 2.795482e+02 7.719158e+02
-1.004624e-04 7.299912e+02 2.926592e+02 8.081192e+02
-9.186520e-05 7.274991e+02 2.916601e+02 8.053605e+02
-8.639269e-05 7.353534e+02 2.948089e+02 8.140553e+02
-8.124843e-05 7.542804e+02 3.023970e+02 8.350081e+02
-7.543107e-05 7.619491e+02 3.054714e+02 8.434975e+02
-7.118170e-05 7.747948e+02 3.106213e+02 8.577181e+02
-6.876144e-05 7.536703e+02 3.021523e+02 8.343326e+02
-6.806606e-05 7.254265e+02 2.908292e+02 8.030661e+02
-6.880026e-05 7.056250e+02 2.828906e+02 7.811453e+02
-6.972740e-05 6.810824e+02 2.730513e+02 7.539759e+02
-7.079101e-05 6.955923e+02 2.788684e+02 7.700388e+02
-7.213240e-05 7.349552e+02 2.946493e+02 8.136145e+02
-7.397179e-05 7.244081e+02 2.904209e+02 8.019386e+02
-7.619401e-05 7.409968e+02 2.970714e+02 8.203027e+02
-7.793592e-05 7.141771e+02 2.863192e+02 7.906127e+02
-7.899782e-05 7.356648e+02 2.949338e+02 8.144001e+02
-7.992182e-05 7.428175e+02 2.978014e+02 8.223184e+02
-8.180314e-05 7.255011e+02 2.908591e+02 8.031486e+02
-8.467123e-05 7.395799e+02 2.965034e+02 8.187342e+02
-8.756358e-05 7.068183e+02 2.833690e+02 7.824663e+02
-8.958516e-05 7.060706e+02 2.830693e+02 7.816386e+02
-8.866733e-05 7.158152e+02 2.869759e+02 7.924261e+02
-8.707111e-05 6.887770e+02 2.761361e+02 7.624941e+02
-8.599024e-05 7.422216e+02 2.975625e+02 8.216586e+02
-8.414717e-05 7.251201e+02 2.907063e+02 8.027268e+02
-8.296907e-05 6.776571e+02 2.716780e+02 7.501840e+02
-8.274726e-05 6.789828e+02 2.722095e+02 7.516517e+02
-8.348929e-05 6.390995e+02 2.562200e+02 7.074998e+02
-8.509179e-05 6.628080e+02 2.657249e+02 7.337457e+02
-8.530177e-05 6.740117e+02 2.702166e+02 7.461485e+02
-8.540709e-05 6.981547e+02 2.798957e+02 7.728755e+02
-8.833133e-05 6.881460e+02 2.758831e+02 7.617955e+02
-9.058604e-05 7.446321e+02 2.985288e+02 8.243271e+02
-9.021437e-05 7.376211e+02 2.957181e+02 8.165658e+02
-8.849106e-05 7.433459e+02 2.980132e+02 8.229033e+02
-8.595392e-05 7.257497e+02 2.909588e+02 8.034238e+02
-8.482544e-05 7.272307e+02 2.915525e+02 8.050633e+02
-8.503105e-05 7.400610e+02 2.966963e+02 8.192668e+02
-8.541590e-05 8.123386e+02 3.256729e+02 8.992799e+02
-8.624736e-05 7.763553e+02 3.112469e+02 8.594455e+02
-8.798776e-05 7.386521e+02 2.961314e+02 8.177071e+02
-9.018125e-05 7.482714e+02 2.999879e+02 8.283559e+02
-9.334178e-05 7.454855e+02 2.988710e+02 8.252718e+02
-9.839930e-05 7.547142e+02 3.025709e+02 8.354883e+02
-1.056451e-04 7.588631e+02 3.042342e+02 8.400812e+02
-1.162989e-04 7.027135e+02 2.817234e+02 7.779221e+02
-1.266099e-04 7.102622e+02 2.847497e+02 7.862787e+02
-1.306143e-04 7.025233e+02 2.816471e+02 7.777115e+02
