#E_pot  E_kin  T  P
-3.406656e-05 7.062642e+02 2.831468e+02 7.818528e+02
-3.500927e-05 7.062642e+02 2.831468e+02 7.818528e+02
-3.614622e-05 7.062642e+02 2.831468e+02 7.818528e+02
-3.749676e-05 7.062642e+02 2.831468e+02 7.818528e+02
-3.908335e-05 7.062642e+02 2.831468e+02 7.818528e+02
-4.093185e-05 7.062642e+02 2.831468e+02 7.818528e+02
-4.307190e-05 7.062642e+02 2.831468e+02 7.818528e+02
-4.553731e-05 7.062642e+02 2.831468e+02 7.818528e+02
-4.836655e-05 7.062642e+02 2.831469e+02 7.818528e+02
-5.160330e-05 7.062642e+02 2.831469e+02 7.818528e+02
-5.529705e-05 7.062642e+02 2.831469e+02 7.818528e+02
-5.950382e-05 7.062642e+02 2.831469e+02 7.818528e+02
-6.428692e-05 7.062642e+02 2.831469e+02 7.818529e+02
-6.971774e-05 7.062642e+02 2.831469e+02 7.818529e+02
-7.587672e-05 7.062642e+02 2.831469e+02 7.818529e+02
-8.285427e-05 7.062642e+02 2.831469e+02 7.818529e+02
-9.075175e-05 7.062642e+02 2.831469e+02 7.818529e+02
-9.968254e-05 7.062642e+02 2.831469e+02 7.818529e+02
-1.097729e-04 7.062642e+02 2.831469e+02 7.818529e+02
-1.211632e-04 7.062642e+02 2.831469e+02 7.818529e+02
-1.340080e-04 7.062643e+02 2.831469e+02 7.818529e+02
-1.484774e-04 7.062643e+02 2.831469e+02 7.818529e+02
-1.647566e-04 7.062643e+02 2.831469e+02 7.818530e+02
-1.830456e-04 7.062643e+02 2.831469e+02 7.818530e+02
-2.035583e-04 7.062643e+02 2.831469e+02 7.818530e+02
-2.265205e-04 7.062644e+02 2.831469e+02 7.818530e+02
-2.521663e-04 7.062644e+02 2.831469e+02 7.818531e+02
-2.807336e-04 7.062644e+02 2.831469e+02 7.818531e+02
-3.124575e-04 7.062645e+02 2.831470e+02 7.818531e+02
-3.475616e-04 7.062645e+02 2.831470e+02 7.818532e+02
-3.862468e-04 7.062645e+02 2.831470e+02 7.818532e+02
-4.286770e-04 7.062646e+02 2.831470e+02 7.818533e+02
-4.749632e-04 7.062646e+02 2.831470e+02 7.818533e+02
-5.251436e-04 7.062647e+02 2.831471e+02 7.818534e+02
-5.791620e-04 7.062647e+02 2.831471e+02 7.818534e+02
-6.368453e-04 7.062648e+02 2.831471e+02 7.818535e+02
-6.978800e-04 7.062649e+02 2.831471e+02 7.818536e+02
-7.617907e-04 7.062649e+02 2.831471e+02 7.818537e+02
-8.279226e-04 7.062650e+02 2.831472e+02 7.818537e+02
-8.954309e-04 7.062651e+02 2.831472e+02 7.818538e+02
-9.632792e-04 7.062651e+02 2.831472e+02 7.818539e+02
-1.030251e-03 7.062652e+02 2.831473e+02 7.818540e+02
-1.094975e-03 7.062652e+02 2.831473e+02 7.818540e+02
-1.155969e-03 7.062653e+02 2.831473e+02 7.818541e+02
-1.211695e-03 7.062654e+02 2.831473e+02 7.818541e+02
-1.260630e-03 7.062654e+02 2.831473e+02 7.818542e+02
-1.301350e-03 7.062654e+02 2.831474e+02 7.818542e+02
-1.332608e-03 7.062655e+02 2.831474e+02 7.818543e+02
-1.353413e-03 7.062655e+02 2.831474e+02 7.818543e+02
-1.363098e-03 7.062655e+02 2.831474e+02 7.818543e+02
-1.361363e-03 7.062655e+02 2.831474e+02 7.818543e+02
-1.348299e-03 7.062655e+02 2.831474e+02 7.818543e+02
-1.324377e-03 7.062654e+02 2.831474e+02 7.818542e+02
-1.290423e-03 7.062654e+02 2.831473e+02 7.818542e+02
-1.247555e-03 7.062653e+02 2.831473e+02 7.818541e+02
-1.197114e-03 7.062653e+02 2.831473e+02 7.818541e+02
-1.140584e-03 7.062652e+02 2.831473e+02 7.818540e+02
-1.079506e-03 7.062652e+02 2.831473e+02 7.818539e+02
-1.015405e-03 7.062651e+02 2.831472e+02 7.818539e+02
