#E_pot  E_kin  T  P
-4.874196e-04 7.524110e+02 3.016475e+02 8.329386e+02
-5.423730e-04 7.524111e+02 3.016475e+02 8.329387e+02
-6.085283e-04 7.524111e+02 3.016475e+02 8.329387e+02
-6.874759e-04 7.524112e+02 3.016476e+02 8.329388e+02
-7.811044e-04 7.524113e+02 3.016476e+02 8.329389e+02
-8.916236e-04 7.524114e+02 3.016476e+02 8.329390e+02
-1.021583e-03 7.524116e+02 3.016477e+02 8.329392e+02
-1.173879e-03 7.524117e+02 3.016478e+02 8.329394e+02
-1.351752e-03 7.524119e+02 3.016478e+02 8.329396e+02
-1.558748e-03 7.524121e+02 3.016479e+02 8.329398e+02
-1.798661e-03 7.524123e+02 3.016480e+02 8.329401e+02
-2.075406e-03 7.524126e+02 3.016481e+02 8.329404e+02
-2.392843e-03 7.524129e+02 3.016483e+02 8.329407e+02
-2.754516e-03 7.524133e+02 3.016484e+02 8.329411e+02
-3.163291e-03 7.524137e+02 3.016486e+02 8.329416e+02
-3.620898e-03 7.524142e+02 3.016487e+02 8.329421e+02
-4.127377e-03 7.524147e+02 3.016489e+02 8.329426e+02
-4.680444e-03 7.524152e+02 3.016492e+02 8.329432e+02
-5.274834e-03 7.524158e+02 3.016494e+02 8.329439e+02
-5.901708e-03 7.524164e+02 3.016497e+02 8.329446e+02
-6.548227e-03 7.524171e+02 3.016499e+02 8.329453e+02
-7.197434e-03 7.524177e+02 3.016502e+02 8.329460e+02
-7.828590e-03 7.524184e+02 3.016504e+02 8.329467e+02
-8.418055e-03 7.524189e+02 3.016507e+02 8.329474e+02
-8.940758e-03 7.524195e+02 3.016509e+02 8.329479e+02
-9.372176e-03 7.524199e+02 3.016510e+02 8.329484e+02
-9.690610e-03 7.524202e+02 3.016512e+02 8.329488e+02
-9.879454e-03 7.524204e+02 3.016512e+02 8.329490e+02
-9.929085e-03 7.524205e+02 3.016513e+02 8.329490e+02
-9.838024e-03 7.524204e+02 3.016512e+02 8.329489e+02
-9.613165e-03 7.524201e+02 3.016511e+02 8.329487e+02
-9.269014e-03 7.524198e+02 3.016510e+02 8.329483e+02
-8.826096e-03 7.524194e+02 3.016508e+02 8.329478e+02
-8.308825e-03 7.524188e+02 3.016506e+02 8.329473e+02
-7.743212e-03 7.524183e+02 3.016504e+02 8.329466e+02
-7.154749e-03 7.524177e+02 3.016502e+02 8.329460e+02
-6.566737e-03 7.524171e+02 3.016499e+02 8.329453e+02
-5.999184e-03 7.524165e+02 3.016497e+02 8.329447e+02
-5.468287e-03 7.524160e+02 3.016495e+02 8.329441e+02
-4.986427e-03 7.524155e+02 3.016493e+02 8.329436e+02
-4.562535e-03 7.524151e+02 3.016491e+02 8.329431e+02
-4.202706e-03 7.524147e+02 3.016490e+02 8.329427e+02
-3.910926e-03 7.524145e+02 3.016489e+02 8.329424e+02
-3.689812e-03 7.524142e+02 3.016488e+02 8.329421e+02
-3.541308e-03 7.524141e+02 3.016487e+02 8.329420e+02
-3.467282e-03 7.524140e+02 3.016487e+02 8.329419e+02
-3.470014e-03 7.524140e+02 3.016487e+02 8.329419e+02
-3.552540e-03 7.524141e+02 3.016487e+02 8.329420e+02
-3.718847e-03 7.524143e+02 3.016488e+02 8.329422e+02
-3.973887e-03 7.524145e+02 3.016489e+02 8.329425e+02
-4.323357e-03 7.524149e+02 3.016490e+02 8.329429e+02
-4.773208e-03 7.524153e+02 3.016492e+02 8.329434e+02
-5.328802e-03 7.524159e+02 3.016494e+02 8.329440e+02
-5.993676e-03 7.524165e+02 3.016497e+02 8.329447e+02
-6.767886e-03 7.524173e+02 3.016500e+02 8.329456e+02
-7.645982e-03 7.524182e+02 3.016504e+02 8.329465e+02
-8.614798e-03 7.524192e+02 3.016507e+02 8.329476e+02
-9.651383e-03 7.524202e+02 3.016512e+02 8.329487e+02
-1.072159e-02 7.524213e+02 3.016516e+02 8.329499e+02
-1.177994e-02 7.524223e+02 3.016520e+02 8.329511e+02
-1.277141e-02 7.524233e+02 3.016524e+02 8.329522e+02
-1.363541e-02 7.524242e+02 3.016527e+02 8.329531e+02
-1.431195e-02 7.524248e+02 3.016530e+02 8.329539e+02
-1.474907e-02 7.524253e+02 3.016532e+02 8.329544e+02
-1.491029e-02 7.524254e+02 3.016533e+02 8.329545e+02
-1.478018e-02 7.524253e+02 3.016532e+02 8.329544e+02
-1.436691e-02 7.524249e+02 3.016530e+02 8.329539e+02
-1.370090e-02 7.524242e+02 3.016528e+02 8.329532e+02
-1.282998e-02 7.524234e+02 3.016524e+02 8.329522e+02
-1.181238e-02 7.524223e+02 3.016520e+02 8.329511e+02
-1.070903e-02 7.524212e+02 3.016516e+02 8.329499e+02
-9.576934e-03 7.524201e+02 3.016511e+02 8.329487e+02
-8.464354e-03 7.524190e+02 3.016507e+02 8.329474e+02
-7.408351e-03 7.524179e+02 3.016503e+02 8.329463e+02
-6.434334e-03 7.524170e+02 3.016499e+02 8.329452e+02
-5.557107e-03 7.524161e+02 3.016495e+02 8.329442e+02
-4.782754e-03 7.524153e+02 3.016492e+02 8.329434e+02
-4.110816e-03 7.524147e+02 3.016489e+02 8.329426e+02
-3.536378e-03 7.524141e+02 3.016487e+02 8.329420e+02
-3.051830e-03 7.524136e+02 3.016485e+02 8.329414e+02
-2.648232e-03 7.524132e+02 3.016484e+02 8.329410e+02
-2.316293e-03 7.524129e+02 3.016482e+02 8.329406e+02
-2.046999e-03 7.524126e+02 3.016481e+02 8.329403e+02
-1.831988e-03 7.524124e+02 3.016480e+02 8.329401e+02
-1.663722e-03 7.524122e+02 3.016480e+02 8.329399e+02
-1.535531e-03 7.524121e+02 3.016479e+02 8.329398e+02
-1.441560e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.376685e-03 7.524119e+02 3.016478e+02 8.329396e+02
-1.336381e-03 7.524119e+02 3.016478e+02 8.329395e+02
-1.316605e-03 7.524119e+02 3.016478e+02 8.329395e+02
-1.313670e-03 7.524118e+02 3.016478e+02 8.329395e+02
-1.324146e-03 7.524119e+02 3.016478e+02 8.329395e+02
-1.344773e-03 7.524119e+02 3.016478e+02 8.329395e+02
-1.372415e-03 7.524119e+02 3.016478e+02 8.329396e+02
-1.404032e-03 7.524119e+02 3.016479e+02 8.329396e+02
-1.436694e-03 7.524120e+02 3.016479e+02 8.329396e+02
-1.467617e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.494233e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.514264e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.525813e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.527441e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.518228e-03 7.524121e+02 3.016479e+02 8.329397e+02
-1.497801e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.466332e-03 7.524120e+02 3.016479e+02 8.329397e+02
-1.424493e-03 7.524120e+02 3.016479e+02 8.329396e+02
-1.373385e-03 7.524119e+02 3.016478e+02 8.329396e+02
-1.314439e-03 7.524118e+02 3.016478e+02 8.329395e+02
-1.249303e-03 7.524118e+02 3.016478e+02 8.329394e+02
-1.179728e-03 7.524117e+02 3.016478e+02 8.329394e+02
-1.107463e-03 7.524116e+02 3.016477e+02 8.329393e+02
-1.034163e-03 7.524116e+02 3.016477e+02 8.329392e+02
-9.613236e-04 7.524115e+02 3.016477e+02 8.329391e+02
-8.902360e-04 7.524114e+02 3.016476e+02 8.329390e+02
-8.219614e-04 7.524114e+02 3.016476e+02 8.329390e+02
-7.573292e-04 7.524113e+02 3.016476e+02 8.329389e+02
-6.969464e-04 7.524112e+02 3.016476e+02 8.329388e+02
-6.412197e-04 7.524112e+02 3.016475e+02 8.329388e+02
-5.903818e-04 7.524111e+02 3.016475e+02 8.329387e+02
-5.445217e-04 7.524111e+02 3.016475e+02 8.329387e+02
-5.036132e-04 7.524110e+02 3.016475e+02 8.329386e+02
-4.675415e-04 7.524110e+02 3.016475e+02 8.329386e+02
-4.361265e-04 7.524110e+02 3.016475e+02 8.329385e+02
-4.091406e-04 7.524109e+02 3.016475e+02 8.329385e+02
-3.863230e-04 7.524109e+02 3.016474e+02 8.329385e+02
-3.673886e-04 7.524109e+02 3.016474e+02 8.329385e+02
-3.520342e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.399401e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.307705e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.241723e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.197729e-04 7.524109e+02 3.016474e+02 8.329384e+02
-3.171800e-04 7.524109e+02 3.016474e+02 8.329384e+02
